SMILES	STRID
CC1=CC(=C(C)[N]1CC2=CC=CC=C2)C(=O)CCl	EN300-07356
[O-][N+](=O)C1=C[NH]C(=C1)C(=O)CCl	EN300-10979
CC1=CC(=C(C)[N]1C2=CC(=CC=C2)F)C(=O)CCl	EN300-10146
CC1=CC(=C(C)[N]1C2=NOC=C2)C(=O)CCl	EN300-11036
CC1=CC(=C(C)[N]1NC(=O)C2=C(C3=C(S2)C=CC=C3)Cl)C(=O)CCl	EN300-11037
CC1=C(C(=C(C(=C1C)C)C(=O)CCl)C)C	EN300-10985
CC(Cl)C(=O)C(=C2NC1=C(C=CC=C1)S2)C#N	EN300-09548
FC1=CC=C(C=C1)C(=C(C#N)C(=O)CCl)N2CCCCC2	EN300-09223
ClC(C(=O)NC1=CC2=C(C=C1)OCO2)C(=O)C3=CC=CC=C3	EN300-14051
FC1=CC(=C(C=C1)C(=O)CCl)F	EN300-22218
CC1=CC(=C(C=C1)C)C(=O)CCl	EN300-05057
CCN(CC)C(=C(C#N)C(=O)CCl)C1=CC=C(C=C1)F	EN300-09050
BrCC(=O)C1=CC=C(C=C1)C#N	EN300-13898
COC1=C(C=CC(=C1)C)C(=O)CBr	EN300-24109
CC1=CC(=C(C)[N]1C2CC2)C(=O)CCl	EN300-09218
COC(=O)C1=C(C)[N](C(C)C)C(=C1C(=O)CCl)C	EN300-15427
ClCC(=O)C1=CC=C(C=C1)N2CCCC2=O	EN300-26221
COC1=C(C=CC(=C1)C(=O)CBr)OC(F)F	EN300-12141
CC1=CC(=C(C)[N]1C2=CC=C(C=C2)Br)C(=O)CCl	EN300-08229
CCC1=CC=C(C=C1)C(=O)CCl	EN300-01881
C[S](=O)(=O)NCCC1=CC=C(S1)C(=O)CCl	EN300-15407
CC(Cl)C(=O)C1=C(C=C(C=C1)F)F	EN300-23654
COCC[N]1C(=CC(=C1C)C(=O)CCl)C	EN300-08180
COC(=O)CC1=CC=C(S1)C(=O)CCl	EN300-27737
ClCC(=O)C(C#N)C1=NC(=CS1)C2=CC=CC=C2	EN300-12458
NC(=O)CC1=CC=C(S1)C(=O)CCl	EN300-13478
CC(Cl)C(=O)C1=CC2=C(C=C1)CCC2	EN300-10999
CC(Cl)C(=O)C1=CC=C(CNC(=O)C)S1	EN300-15406
CC1=CC(=C(C)[N]1CC(=O)N)C(=O)CCl	EN300-13866
ClC1=CC2=C(C=C1)OC(=C2)C(=O)CBr	EN300-14247
COC1=CC(=C(C=C1)C(=O)C(C)Cl)OC	EN300-09898
COC1=C(C=C(C=C1)F)C(=O)CBr	EN300-34779
ClCC(=O)C1=CC2=C(C=C1)NC(=O)CC2	EN300-12065
CCOC(=O)C1=C(C)[NH]C(=C1C)C(=O)CCl	EN300-02063
CC(Br)C(=O)C1=CC=C(C=C1)OC(F)F	EN300-04459
